event_id,timestamp,destination_port,flow_duration,total_fwd_packets,total_backward_packets,flow_bytes_per_sec,flow_packets_per_sec,protocol,source_ip,target_ip,scenario
BSSH-006,2026-05-11T13:38:22Z,22,37.85393,1.0,23.0,108.0733229020078,0.6340160717790729,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-007,2026-05-11T13:45:56Z,22,5.685293,1.0,18.0,694.9509902128176,3.341956166551135,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-008,2026-05-11T13:48:03Z,22,4.875446,1.0,17.0,810.3873984041664,3.691969924392558,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-009,2026-05-11T14:01:17Z,22,5.58056,0.0,17.0,714.4444285161345,3.0462892612927734,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-010,2026-05-11T14:07:05Z,22,6.058921,0.0,17.0,652.0963055963265,2.8057801050715137,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-011,2026-05-11T14:08:54Z,22,9.840897,2.0,34.0,810.2919886266466,3.658203108923912,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-012,2026-05-11T14:22:50Z,22,4.749814,1.0,17.0,839.4012902399968,3.789622077832943,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-013,2026-05-11T14:29:18Z,22,7.28491,1.0,17.0,542.3539892737178,2.4708609989691017,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-014,2026-05-11T14:31:27Z,22,4.984231,1.0,17.0,792.7000173146067,3.6113896005221267,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-015,2026-05-11T18:40:57Z,22,5.320011,22.0,18.0,1430.8241091982704,7.518781446128589,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-016,2026-05-11T14:51:37Z,22,5.135329,1.0,17.0,769.376217181022,3.505130829981877,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-017,2026-05-11T14:53:22Z,22,5.654948,1.0,17.0,698.6801646982431,3.1830531421332258,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
BSSH-018,2026-05-11T15:06:02Z,22,6.121063,0.0,18.0,651.3574521288214,2.9406656980985164,tcp,192.168.56.102,192.168.56.101,benign_ssh_login
