model_load_time_s,total_events,batch_size,repeat_index,total_time_s,events_per_second,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,failed_events,process_cpu_time_s,cpu_time_per_event_ms,memory_rss_mb_before,memory_rss_mb_after,memory_rss_delta_mb,peak_memory_mb
0.006422500002372544,1000,100,3,2.623233940998034,381.20885231438433,2.6221464411100897,2.399249999143649,3.1321999997089733,7.645028000624719,17.66619799673208,0,2.623208599999998,2.623208599999998,,,,144.28125
0.006422500002372544,5000,1,1,12.855762068000331,388.9306579845354,2.569353793621849,2.4161495002772426,3.1489049986703326,4.746153998712547,15.132998996705282,0,12.855712899999993,2.5711425799999987,,,,147.65625
0.006422500002372544,5000,1,2,13.126904710999952,380.89710484529917,2.623550442380656,2.430199501759489,3.327064951190551,5.355425001871582,16.330198999639833,0,13.126763999999994,2.625352799999999,,,,147.78125
0.006422500002372544,5000,1,3,13.357456358997297,374.3227651746814,2.6695791520163765,2.443949499138398,3.633859999172273,5.847131990267708,16.54189900000347,0,13.357411099999993,2.6714822199999984,,,,147.78125
0.006422500002372544,5000,10,1,15.439989771002729,323.83441143143204,3.086479734805471,2.6014500017481623,4.780289048903797,15.19294101013659,33.40679700340843,0,15.439331199999998,3.08786624,,,,147.90625
0.006422500002372544,5000,10,2,14.920496108999941,335.10950061399325,2.982628322412347,2.5817999994615093,4.678459052047402,11.232701001681646,39.79599499871256,0,14.920432199999993,2.9840864399999987,,,,147.90625
0.006422500002372544,5000,10,3,13.615157275999081,367.23777027637016,2.7217847354018887,2.494949500032817,3.7667390026399534,5.41380098988157,15.893398001935566,0,13.615139999999997,2.7230279999999993,,,,147.90625
0.006422500002372544,5000,50,1,14.134544964002998,353.7432589965716,2.825678013198194,2.505899999960093,4.104524951071654,11.788871990283956,17.71239799927571,0,14.134536200000014,2.8269072400000024,,,,147.90625
0.006422500002372544,5000,50,2,13.954922991000785,358.2964953102491,2.7897890784021,2.516849501262186,4.087895001975995,5.8957579909475,18.857098002627026,0,13.954882699999985,2.7909765399999973,,,,147.90625
0.006422500002372544,5000,50,3,14.516484948999278,344.4359993184634,2.9020602100084942,2.5485495007160353,4.2705849511548895,11.874127999180942,20.387397999002133,0,14.516461900000024,2.9032923800000052,,,,147.90625
0.006422500002372544,5000,100,1,13.59071358700021,367.8982687695369,2.716960197816661,2.5017495008796686,3.6128499512415155,5.156178009565339,18.313198001123965,0,13.590687399999979,2.7181374799999958,,,,147.90625
0.006422500002372544,5000,100,2,13.413018040999305,372.77218182489577,2.681475528194278,2.5048000024980865,3.4304149521631198,4.878117000043858,15.223198999592569,0,13.413001700000024,2.6826003400000045,,,,147.90625
0.006422500002372544,5000,100,3,13.508912960998714,370.1260060254582,2.7006815322092734,2.4919999996200204,3.6955549523554514,5.220405012296405,15.077298998221522,0,13.50889459999999,2.7017789199999984,,,,147.90625
